"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","57003029316.9221","60369044045.3603","59157838715.1215","62956829562.5115","68782234286.2006","77435502584.6545","77943549006.7762","85962836045.2701","75004370423.5978","64479741301.3747","18470314976.0523","10062654422.3752","10636434906.4204","10891379098.8602","11192890925.2707","14506503534.1774","18851478197.356","20189354353.1266","16682806575.0093","13726082196.892","11370587099.1866","11508730870.0275","12528137417.0836","13337767930.5373","16606575159.293","18115500242.3761","19503721896.604","23330867335.1935","23908973313.4829","21107899679.9499","23438039311.6539","26380398819.8462","26917969264.3","29510712461.0337","30411434313.2651","32381760371.7978","35170678394.618","37190599823.7746","37835249584.901","39347138219.5146","35566269057.1246","39683015895.4573","44470930372.7512","44471006374.5997","45260172609.5067","",
"Bahrain","BHR","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13287679043.9241","12961137431.8516","14748502493.8301","14899239815.9936","15590826108.9084","16326408540.6855","16646090262.4079","16721342743.7677","16834892239.2962","16893717088.5017","17337986024.0604","22606887536.4643","27310043060.2863","27128784383.877","26025254712.3895","25805319148.9362","25093954451.1106","26019841330.4971","26868509570.4774","26970848303.0957","26283530615.6348","34030209564.8542","37147999555.7915","33782362242.2848","34422608961.0848","",
"Bahamas, The","BHS","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2796460388.89088","2816825542.61508","2647127637.50546","2615745862.08767","2723942201.31945","2701253546.24739","2771015059.44877","2871193377.48661","2230557237.89164","2202993614.2335","2349957356.50415","2463478145.41526","2591448630.20941","2604962313.40367","2622551551.847","2929319960.4625","2866626610.57858","2922358366.08969","2880696051.30681","2817290941.77413","2727804228.67388","2762573200.00919","2936115802.58833","4386096958.83043","4424122474.31212","4183196708.27299","4241600000","3943928464.70358","3932033303.45034","4406084729.78875","4498028476.19704","2460933360.91764","3024198496.6554","4314140983.38046","4531861434.84357","4811787729.58187","",
"Bosnia and Herzegovina","BIH","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1941463836.06969","2053762462.76258","1947441259.04016","2202490712.6712","2587454943.07458","2994412267.94198","3556524576.30869","3996879367.12895","4042652348.32853","3914257254.54224","4458359546.37541","4665406157.01239","4670418628.94161","5037349765.26587","5247057308.83183","5760366704.24363","6299990984.62151","7044713250.26218","7557459882.5498","7595579198.17544","6468216760.95157","8110063516.42688","9066143200.81068","8953054083.51549","8808672733.63965","",
"Belarus","BLR","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23356259417.4794","23099341117.062","15245564027.9785","11830559017.6792","11688592342.0046","9117101937.12984","9828234719.93034","13160006761.6001","12067726477.5266","12912466707.9212","14552350767.6975","16457546844.7572","17840906310.7847","19373924582.6703","21989507772.6199","21395795488.6718","23144359383.5694","24440577124.0613","24953852623.8275","22999406945.4733","24763278108.9726","32291340602.0868","35907968652.8161","30665401248.3675","32076014659.4819","32749844750.6246","33601327304.31","36106463501.2398","37478579112.6509","37840751485.5986","36421895085.3172","40082671592.4888","31645377151.9404","37642729986.2787","38752815496.8863","",
"Belize","BLZ","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","124593735.602109","186190370.256212","135590719.956251","129291203.382758","180171829.726819","166931403.579415","192500538.070637","224913971.395819","243270706.377886","267733627.069811","259301480.431472","249156902.357604","333238614.750315","342256717.494003","378803092.087366","373205965.571297","392154939.239082","446675600.314217","469340056.142429","523491498.289035","575848754.233814","600672952.790631","661851664.921079","751493684.484256","789780969.541973","877360763.92717","1079144060.14675","902242877.263676","969764722.73087","1012421301.90961","1016899735.60282","1048979591.51667","1160987800.90945","1146910700.54698","1158841584.65132","1130908300","1029570962.01312","1012161613.20945","1109342174.04092","1168175728.25011","822642967.973781","1117907848.08829","1260964385.73374","1406251765.53379","1490267603.527","",
"Bermuda","BMU","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3186804312.30897","3325330000","3569037741.46372","3203833873.06037","3391300286.1253","3280106662.4379","2956478768.53383","3081387780.2161","3383998288.58192","3598654524.76636","3993303252.26648","",
"Bolivia","BOL","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","905171097.868319","910487814.83676","982263497.000826","1168586038.88452","1246371177.48166","1294308530.58057","1465254940.11955","1814383586.54681","1823428369.96089","1872270201.47846","1690470050.91555","1885733962.22371","2082201457.89578","2316050876.65447","2292899571.87515","2192010857.73522","2427842651.69465","2379062073.32821","2307908980.24674","2343874921.81961","2231658652.22157","2260514712.82463","1963894817.81863","2001293574.33942","1879905054.60829","1527572278.70485","1819834784.0364","1839941577.22255","1963381530.1787","2446563857.02477","2717359950.69109","2915558757.72995","2948003251.48072","3104382996.68812","3573036233.52901","3898836034.59209","4057466392.18171","3971845010.31596","4229317059.96823","3687761611.08425","4242423499.20604","4597820942.78945","4859585943.05028","5450659963.04241","6356589425.27518","6886494731.69877","7667205151.70266","7904057982.6726","8075934452.96953","7207314493.74745","7917424532.84616","8281084187.47122","9382102799.99115","9766290205.71675","10827442703.6111","10186598885.6729","9604501667.20527","9126725157.1042","9299403100.08755","9433475514.57198","7177719088.46416","9865184124.90295","10951339862.8782","10058159627.2608","8602868510.16542","",
"Brazil","BRA","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","6077811395.35117","6393498140.76816","5919933591.37221","7577512257.0132","6551376036.34622","6788329364.79681","7577665476.47129","7340843911.3659","8524881959.33546","10182494276.4366","27857666924.2872","29392519931.8876","36494785524.9019","41697011379.4519","42670040056.5781","47608123808.7026","47468586532.9255","47287273674.4396","53553672993.6606","58534106121.5362","71771179586.2077","73265656289.0553","60585937302.9035","90585289202.064","117158105615.902","108859894486.692","83343464967.6517","92067887266.1674","109582944924.91","86553559683.7336","76143279667.2247","81436343052.61","101519471202.818","102686244214.41","97966420178.5218","80957535400.898","80617623449.4945","89501112134.3982","93894010481.9465","99251874624.0446","112016210932.937","122355897425.932","130280671054.78","144632310842.153","165566072896.778","181533578955.405","190315134947.497","202069191117.308","202896161250.008","184134218343.11","205717918658.77","215616954584.576","217142749919.785","221117102998.019","217646271059.051","232488797699.731","234495467922.834","246006365949.284","255977209832.694","249420555705.753","243706565653.576","254386412720.84","268995417047.527","292995649548.902","301090865912.958","",
"Barbados","BRB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
