"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Burundi","BDI","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14407000000","15467000000","15632000000","17550000000","19512000000","16316000000","20744000000","25304700000","31640150000","","","","","","","","","","","194271000000","244755000000","272202000000","317303000000","372551329400","339194981700","368278001200","462276479700","","525105025500","585217327400","654576721600","","","","",
"Belgium","BEL","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22240700000","23569900000","24950500000","25830000000","27821200000","29187000000","28825800000","27505000000","28103900000","30307300000","31743900000","33226400000","34746600000","35193500000","34745900000","37261900000","38381900000","40884700000","40994500000","41445400000","41974800000","43855200000","45144600000","47340800000","48519500000","45186300000","51799300000","53398500000","","","",
"Benin","BEN","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","1721000000","2087000000","2184000000","2267000000","3285000000","4037000000","4037000000","3770000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130176282300","147209293300","177266962800","185811088400","194347024400","217313127700","243815710900","282942741900","318436000000","366763000000","467465000000","523444000000","509613853300","528792599100","601600000000","670207854100","756482090000","805696242900","728412180500","902369266300","1028908098000","1210118379000","","",
"Bangladesh","BGD","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66568780000","75228380000","108949240000","100539870000","109990725000","125517335000","140969068000","171902957000","200555946000","240716688000","304282400000","352579400000","402282200000","428603900000","474400070000","577640000000","928708500000","1151751000000","1284988059000","1184613000000","1465246848000","","","","",
"Bulgaria","BGR","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3875000","8438000","10242000","18238000","57707000","84295000","155413000","1436061000","2813001000","2873137000","3482281000","3734318000","3848061000","4766176000","5980097000","6979256000","8229181000","9905665000","11906712000","10027516000","9974193000","10851832000","11468262000","12179246000","12150530000","13252710000","14206394000","15210352000","15676626000","17839112000","17593419000","20021022000","26379911000","26357575000","","",
"Bahrain","BHR","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18700000","18500000","21700000","26400000","24400000","30200000","28400000","23800000","22300000","23100000","25300000","24300000","26200000","30700000","32800000","2840000","2980000","3130000","3320000","20700000","12710000","","","","","","","","56211428.42","321560081","288676629.3","","","","","",
"Bahamas, The","BHS","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25600000","15000000","30500000","57800000","35900000","40911000","50328000","46930000","119100000","94000000","102100000","86300000","117130000","180285000","334525000","388734000","158400000","373774000","515745534.3","683421120.3","665211766.7","564386767.2","628785535.9","901680648.9","1154571156","1281965812","1275736000","1634363000","1346816646","1166624454","1488588337","1629037692","","",
"Bosnia and Herzegovina","BIH","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1435577856","3875870445","4320822724","4494651036","4052924027","4385581786","4600028053","4634988510","4543595047","4664946679","4911458987","5059028406","5304431850","5685815610","5922102149","5388861314","6258458661","7121655699","7640266514","8759056725","",
"Belarus","BLR","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1150","11960","209920","1209560","2193460","4802210","7757750","32942470","101656000","178242000","251079000","370189400","543991000","738047400","1128617900","1270861800","1523146449","1397172200","1670181858","2495000000","4610280000","5994690000","7529064110","7865016731","8793567337","9068217958","11020978280","11753308920","13111920670","15584779780","15711021950","19115127000","","",
