"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"American Samoa","ASM","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","897750000","891782051.282051","776685897.435897","777538461.538462","748551282.051282","720416666.666667","735762820.512821","640275641.025641","569512820.512821","529442307.692308","550756410.25641","573775641.025641","641980769.230769","665000000","643685897.435897","569512820.51282","566102564.102564","535410256.410256","639423076.923077","603615384.615385","527737179.48718","","","",
"Antigua and Barbuda","ATG","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","853392592.592592","","","","","","","","","","",
"Australia","AUS","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","11696995713.6619","13160478212.94","11284153052.2936","13239084478.185","14727490915.2237","17537505128.903","18020007000.9357","18324206856.6808","20135985409.2805","20830660289.9421","22567027953.9327","23259146533.2856","21403910858.4366","21674239721.8404","28249046688.0292","28976314410.3779","27555649958.0219","30178415100.8329","28764780477.0761","31085262990.1235","31116577681.1561","34059519562.892","37998779879.726","34791899887.8583","36875285454.5161","43011686746.2487","42910073769.2246","40881648680.7056","45470209529.9703","56783760047.3149","59973385005.3484","56546024025.5981","58523962163.2686","62383338064.2032","67063286685.2569","78022789471.335","81679578493.5485","89761325081.2647","98958258114.9373","104018456555.672","116550084646.652","115413808714.898","116971235287.274","132408099815.685","150282397642.02","169066738734.281","183371161782.902","202375344787.719","231691647272.165","223090971518.766","238692078406.266","263610264488.951","293419294050.665","295558279170.789","287168498275.364","291850364122.4","292155842128.799","308379408384.988","331219321503.633","332907758518.084","311043713424.067","301479951152.584","323598987302.152","362915540506.556","385774625885.017","",
"Austria","AUT","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","25762688819.73","27382522804.2618","30708473761.639","33642082266.6413","35965201410.1549","34293272592.4852","40266308835.3996","43665352350.5664","43225074662.1349","47653868947.5582","50373813216.0293","50068380256.4876","48251427648.6898","50266845755.3239","53606229449.8509","56574913476.1866","54571457894.8765","56663198222.8435","62013601394.7112","68313168737.1776","73764785133.1167","77537386879.78","79178162923.928","74831699409.2818","82562958372.8922","87438204799.8271","91085142182.6097","97707213095.5729","103332859131.137","107532114821.606","118485613140.743","124637778377.143","125000251626.232","129384522614.847","139703123000.065","147323986191.652","155949151408.929","164736863987.874","166308875157.892","146519422320.322","164069084389.913","173837025503.804","175442243596.309","176790982308.041","182090568759.65","188716276454.947","195751150541.063","206044544488.341","216562116815.073","221655475224.041","200434469382.181","228775973049.812","244632643088.804","233997123100.202","227956446198.585","",
"Azerbaijan","AZE","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18474102154.6726","","","","","","","","","","",
"Burundi","BDI","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","57525226548.6317","59621768287.6752","65327022102.259","77469033022.4825","80890402335.2721","73543618511.9167","82652372793.6192","86595655064.1319","88906295062.5762","96868647482.0319","95007807738.6365","93169212308.6513","94431418578.9731","93267805819.8024","99229967991.2958","99634090751.7391","104206200479.899","111243133872.423","122834843409.37","134741831997.172","141302052208.017","145342195174.169","151326026225.35","150779973280.104","161757371489.349","169281852503.396","178684113812.486","193340302153.16","203119743981.514","209971531030.949","237300398527.944","235507651051.234","237994610456.608","241467950120.335","256696532156.335","273193456974.731","287240662721.118","303266709038.637","314806000906.356","281409130518.985","308501744472.537","326133685165.542","324094152622.543","323974397264.814","341537720200.716","355884802917.226","383548833414.501","404120914712.48","413569862153.775","419714734303.691","391491881661.151","441725942770.021","457090457451.42","422191162186.219","416752770646.221","",
"Benin","BEN","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","189092485.040781","153130373.38615","160089900.912279","199532476.87599","218093742.032148","277255850.576894","356140360.453423","444305160.6533","468665427.185103","509267255.669221","551032189.149951","659263085.961469","711460219.415347","702520242.080866","711171733.496383","754424351.6643","704751918.711189","771826493.121927","815958226.405053","1040219412.032","1227147247.00863","1343019806.63786","1030147840.68092","761903660.810176","762805339.230619","899857842.173482","778246137.173017","713430126.056133","736838877.653602","567059463.461429","767631074.563075","969160756.693959","1156093842.04032","1252492383.53196","1103339872.85211","1164091036.81166","1042295351.03008","1161484130.8502","1276214985.34692","1488214292.23479","1330723219.21479","1509663279.02396","1457692427.12109","1532299937.67816","1474045699.78587","1409064273.28507","1513679718.32655","1972357668.57238","2055468999.87084","2152935175.51474","2311167752.80722","2205626038.37382","2456235653.34122","3212044051.77382","3683947795.80292","3648295538.29295","3768810745.01337","4308626264.69884","4517107167.93023","4670415433.66079","3746009218.34263","4375075379.17492","4173801040.04641","4609347225.73775","4574672675.03222","",
"Burkina Faso","BFA","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","374918518.645414","382360510.887591","456854092.914109","521404114.300864","551205645.849721","486651211.542841","581100566.721195","620834287.365539","645662383.865754","663049845.928455","784737894.749843","715207479.690296","901452424.102745","903934177.09404","912067742.37407","1003949210.4231","1076821442.66367","1052529029.49156","917591584.224709","854617172.578341","1066692715.999","1132411355.19616","1101273563.60259","1128843469.0614","993236641.775651","1048548974.82086","1039520807.48578","914498578.815334","971650353.7452","830395533.547105","931478200.216532","1039154378.67402","1050531916.23417","1279515373.69614","1161728543.80835","1112364131.19823","995442524.379821","1048367092.86493","1049504296.006","1271612544.10768","1372735335.15232","1405360383.44762","1463844538.30614","1717867024.51209","1934229549.02357","2417735421.06063","2906419037.39868","3444495318.1559","3853450533.55152","3510311640.51832","3902427857.57598","4188141081.06501","4611433504.48387","5003464425.86797","5171302955.51087","5250675144.96305","5642470399.32556","6048549562.52912","5930350209.34244","6713659606.74885","",
"Bangladesh","BGD","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","6052999229.32611","8008957736.79211","7947261972.87321","9294093097.86315","10810562263.5716","10766927956.0715","11203985180.8053","13090379401.4862","12370700208.0373","13367993383.704","14953669639.6166","11722947182.6174","11710070864.6548","5808719067.8091","3639905848.29543","3245870592.89698","4467255318.6151","2471585090.58038","3921335875.82428","4351245360.38698","5806227801.70491","2757290641.90376","3016599276.85879","2891488160.52165","2704459699.5128","2900314953.72589","2779703768.97795","2938196598.89434","3158347164.41833","3633587679.86656","3971973096.54198","3375484257.35901","3078756796.94116","4230793913.73375","3972246616.56683","5894670789.03655","6726382937.21117","6930946781.95707","7240827378.42068","7407770286.05912","8165875911.27849","9215079005.25739","8768385060.35743","9518042380.41675","17584534494.4188","24277698362.6253","28693920636.0907","33280940870.7871","32648192800.3489","31799452432.3593","32017741357.5566","41351862193.7416","45701482286.5825","46258195599.4075","46798641138.9714","48297463643.7965","44872263246.7544","47189556671.898","58484366550.2845","58779996314.8178","52073456218.9652","60022959705.004","78739971067.3165","71044199703.4452","67776851244.9799","",
